,name,current_revenue,reduction_revenue,lost_revenue,new_revenue,revenue_variation,percentage_revenue
0,EOS Rebel SL2 DSLR Camera Body Deluxe Kit,9402.24,8462.02,940.22,76287.38,66885.14,711.37
1,Panasonic - Lumix G85 Mirrorless Camera with 12-60mm Lens - Black,14876.1,13388.49,1487.61,131514.45,116638.35,784.07
